charge_id,order_id,ext_id,delivery_mode_id,amount,order_date
200131,900131,R56741358,2,0.0,2025-08-20
200132,900132,R56746262,2,2.0,2025-07-21
200133,900133,R56772621,2,0.0,2025-08-08
200134,900134,R56776912,2,0.0,2025-08-13
200135,900135,R56868249,2,0.0,2025-07-25
200136,900136,R56900738,2,0.0,2025-08-05
200137,900137,R56928323,2,0.0,2025-07-18
200138,900138,R56962038,2,0.0,2025-08-08
200139,900139,R56962651,2,2.0,2025-07-22
200140,900140,R56980428,2,0.0,2025-08-05
200141,900141,R56986558,2,0.0,2025-07-29
200142,900142,,2,1.5,2025-07-17
200143,900143,R57046632,2,1.5,2025-07-11
200144,900144,,2,0.0,2025-07-02
200145,900145,R57236049,2,0.0,2025-07-03
200146,900146,R57318804,2,0.0,2025-07-02
200147,900147,R57369070,2,2.0,2025-07-12
200148,900148,R57657180,2,2.0,2025-07-08
200149,900149,R57659632,2,0.0,2025-08-15
200150,900150,R57757712,2,0.0,2025-07-18
200151,900151,R57796331,2,0.0,2025-08-09
200152,900152,R57836176,2,0.0,2025-07-30
200153,900153,R57893185,2,0.0,2025-07-19
200154,900154,R57894411,2,2.0,2025-07-21
200155,900155,R57900541,2,1.5,2025-07-23
200156,900156,R58020076,2,0.0,2025-07-17
200157,900157,R58035401,2,2.0,2025-08-06
200158,900158,R58107735,2,2.0,2025-08-22
200159,900159,,2,2.0,2025-08-02
200160,900160,,2,1.5,2025-07-03
200161,900161,R58215010,2,1.5,2025-08-20
200162,900162,R58300217,2,1.5,2025-08-08
200163,900163,,2,2.0,2025-07-07
200164,900164,R58336997,2,0.0,2025-07-15
200165,900165,R58358452,2,1.5,2025-07-27
200166,900166,R58388489,2,0.0,2025-08-25
200167,900167,R58417913,2,1.5,2025-07-25
200168,900168,R58473083,2,0.0,2025-07-21
200169,900169,R58486569,2,0.0,2025-08-02
200170,900170,R58504959,2,0.0,2025-08-16
200171,900171,R58564420,2,0.0,2025-08-22
200172,900172,R58595683,2,0.0,2025-07-09
200173,900173,R58644110,2,0.0,2025-07-31
200174,900174,R58661887,2,2.0,2025-08-19
200175,900175,R58683955,2,0.0,2025-08-05
200176,900176,R58731156,2,1.5,2025-07-30
200177,900177,R58839657,2,2.0,2025-07-02
200178,900178,R58864177,2,1.5,2025-07-22
200179,900179,,2,1.5,2025-08-11
200180,900180,,2,2.0,2025-07-09
200181,900181,R59252819,2,0.0,2025-08-23
200182,900182,R59273048,2,0.0,2025-07-26
200183,900183,R59306763,2,0.0,2025-07-09
200184,900184,R59372354,2,0.0,2025-07-08
200185,900185,R59523152,2,0.0,2025-07-28
200186,900186,R59529282,2,0.0,2025-08-22
200187,900187,R59547672,2,0.0,2025-07-19
200188,900188,R59551963,2,1.5,2025-07-24
200189,900189,R59558093,2,0.0,2025-07-28
200190,900190,R59635331,2,0.0,2025-07-22
200191,900191,,2,1.5,2025-07-19
200192,900192,R59670885,2,1.5,2025-08-10
200193,900193,R59703987,2,0.0,2025-07-31
200194,900194,R59719312,2,0.0,2025-08-24
200195,900195,R59723603,2,0.0,2025-07-03
200196,900196,R59733411,2,0.0,2025-07-15
200197,900197,R59741380,2,0.0,2025-07-15
200198,900198,R59743832,2,2.0,2025-08-07
200199,900199,R59746284,2,1.5,2025-07-28
200200,900200,R59799002,2,2.0,2025-08-25
200201,900201,R59822909,2,0.0,2025-08-06
200202,900202,R59897082,2,0.0,2025-08-25
200203,900203,R59942444,2,0.0,2025-08-12
200204,900204,R59981676,2,2.0,2025-07-15
200205,900205,R59987193,2,0.0,2025-07-29
200206,900206,R51090791,2,0.0,2025-07-19
200207,900207,R51117150,2,2.0,2025-08-13
200208,900208,R51154543,2,0.0,2025-07-25
200209,900209,R51160673,2,2.0,2025-08-17
200210,900210,R51276530,2,1.5,2025-07-31
200211,900211,R51312697,2,2.0,2025-08-03
200212,900212,R51360511,2,0.0,2025-08-17
200213,900213,R51367254,2,0.0,2025-08-07
200214,900214,R51430393,2,1.5,2025-07-18
200215,900215,R51449396,2,0.0,2025-08-03
200216,900216,,2,0.0,2025-08-12
200217,900217,R51529699,2,0.0,2025-08-14
200218,900218,R51577513,2,0.0,2025-08-16
200219,900219,R51648621,2,2.0,2025-08-03
200220,900220,R51755896,2,0.0,2025-08-12
200221,900221,R51757122,2,2.0,2025-07-08
200222,900222,R51820874,2,0.0,2025-07-22
200223,900223,R51844168,2,1.5,2025-08-11
200224,900224,R51852137,2,0.0,2025-07-04
200225,900225,R51897499,2,0.0,2025-08-15
200226,900226,R51958186,2,0.0,2025-08-07
200227,900227,R51976576,2,0.0,2025-08-22
200228,900228,R51994966,2,0.0,2025-08-14
200229,900229,R52074043,2,0.0,2025-08-22
200230,900230,R52140860,2,0.0,2025-08-02
200231,900231,R52145764,2,0.0,2025-07-24
200232,900232,R52164767,2,0.0,2025-07-27
200233,900233,R52262847,2,0.0,2025-08-04
200234,900234,R52279398,2,0.0,2025-08-06
200235,900235,R52308209,2,1.5,2025-08-25
200236,900236,R52330277,2,0.0,2025-08-16
200237,900237,R52470041,2,2.0,2025-08-23
200238,900238,R52500691,2,1.5,2025-08-06
200239,900239,R52512338,2,0.0,2025-08-23
200240,900240,R52580994,2,2.0,2025-07-22
200241,900241,R52585898,2,0.0,2025-08-12
200242,900242,R52745891,2,0.0,2025-08-09
200243,900243,R52785736,2,0.0,2025-07-07
200244,900244,R52827420,2,0.0,2025-07-25
200245,900245,R52861135,2,2.0,2025-07-19
200246,900246,R52873395,2,2.0,2025-07-03
200247,900247,R52936534,2,2.0,2025-07-23
200248,900248,R52975766,2,1.5,2025-07-20
200249,900249,R52985574,2,2.0,2025-07-04
200250,900250,R53012546,2,0.0,2025-07-10
200251,900251,R53014998,2,0.0,2025-08-25
200252,900252,R53037066,2,2.0,2025-08-20
200253,900253,R53070781,2,0.0,2025-07-16
200254,900254,R53085493,2,0.0,2025-07-03
200255,900255,R53116756,2,0.0,2025-07-24
200256,900256,R53136372,2,2.0,2025-08-17
200257,900257,R53176830,2,0.0,2025-07-04
200258,900258,R53280427,2,2.0,2025-08-08
200259,900259,,2,1.5,2025-07-28
200260,900260,R53396284,2,0.0,2025-07-23
200261,900261,R53402414,2,2.0,2025-07-19
200262,900262,R53410383,2,0.0,2025-07-12
200263,900263,R53431838,2,0.0,2025-08-23
200264,900264,R53473522,2,0.0,2025-07-26
200265,900265,R53479652,2,0.0,2025-07-08
200266,900266,R53558116,2,0.0,2025-07-01
200267,900267,R53580184,2,0.0,2025-07-19
200268,900268,R53610834,2,0.0,2025-07-09
200269,900269,R53666004,2,2.0,2025-08-20
200270,900270,R53738338,2,2.0,2025-08-03
200271,900271,R53748759,2,0.0,2025-08-17
200272,900272,R53795347,2,0.0,2025-08-18
200273,900273,R53897718,2,0.0,2025-07-04
200274,900274,R53900170,2,0.0,2025-07-09
200275,900275,R53947371,2,0.0,2025-07-15
200276,900276,R53962696,2,0.0,2025-08-02
200277,900277,R53993346,2,2.0,2025-07-06
200278,900278,R54008671,2,2.0,2025-07-06
200279,900279,R54033804,2,0.0,2025-08-17
200280,900280,R54049129,2,0.0,2025-07-15
200281,900281,R54178472,2,1.5,2025-07-29
200282,900282,R54263679,2,1.5,2025-07-28
200283,900283,R54331109,2,0.0,2025-07-26
200284,900284,R54331722,2,0.0,2025-08-25
200285,900285,R54344595,2,0.0,2025-08-18
200286,900286,R54424285,2,0.0,2025-07-05
200287,900287,R54462291,2,0.0,2025-08-12
200288,900288,R54481294,2,1.5,2025-07-26
200289,900289,R54521139,2,2.0,2025-07-23
200290,900290,R54524817,2,0.0,2025-07-11
200291,900291,R54526043,2,1.5,2025-08-19
200292,900292,R54576309,2,0.0,2025-07-11
200293,900293,R54632092,2,0.0,2025-07-18
200294,900294,R54678680,2,0.0,2025-08-01
200295,900295,R54695844,2,0.0,2025-08-22
200296,900296,R54824574,2,1.5,2025-07-03
200297,900297,R54953304,2,0.0,2025-07-11
200298,900298,R55042802,2,0.0,2025-08-15
200299,900299,R55136591,2,0.0,2025-07-14
200300,900300,R55146399,2,1.5,2025-08-07
200301,900301,R55182566,2,0.0,2025-08-07
200302,900302,R55194213,2,2.0,2025-07-17
200303,900303,,2,0.0,2025-07-29
200304,900304,R55446769,2,0.0,2025-07-06
200305,900305,R55460255,2,0.0,2025-07-29
200306,900306,,2,0.0,2025-08-05
200307,900307,R55496422,2,1.5,2025-07-15
200308,900308,R55504391,2,0.0,2025-08-08
200309,900309,R55570595,2,0.0,2025-07-02
200310,900310,R55686452,2,1.5,2025-08-17
200311,900311,R55716489,2,0.0,2025-08-19
200312,900312,R55728136,2,0.0,2025-07-06
200313,900313,,2,2.0,2025-07-13
200314,900314,R55751430,2,0.0,2025-07-12
200315,900315,R55753882,2,0.0,2025-08-10
200316,900316,R55758173,2,0.0,2025-07-30
200317,900317,R55844606,2,1.5,2025-07-19
200318,900318,R55880160,2,0.0,2025-08-22
200319,900319,R55904680,2,1.5,2025-07-08
200320,900320,R55961076,2,1.5,2025-07-11
200321,900321,R56184821,2,0.0,2025-08-23
200322,900322,R56251638,2,1.5,2025-08-06
200323,900323,R56275545,2,1.5,2025-07-29
200324,900324,R56304969,2,0.0,2025-07-31
200325,900325,R56308034,2,0.0,2025-07-27
200326,900326,R56317842,2,0.0,2025-07-22
200327,900327,R56357687,2,2.0,2025-08-08
200328,900328,R56361365,2,2.0,2025-07-27
200329,900329,R56393241,2,1.5,2025-08-23
200330,900330,R56490095,2,0.0,2025-07-10
200331,900331,R56513389,2,2.0,2025-08-22
200332,900332,R56538522,2,0.0,2025-08-11
200333,900333,R56539135,2,0.0,2025-07-23
200334,900334,R56542813,2,0.0,2025-07-16
200335,900335,R56545878,2,1.5,2025-07-21
200336,900336,R56555073,2,0.0,2025-08-10
200337,900337,R56601661,2,0.0,2025-07-05
200338,900338,R56630472,2,2.0,2025-08-03
200339,900339,,2,0.0,2025-08-01
200340,900340,R56665413,2,2.0,2025-08-06
200341,900341,R56698515,2,0.0,2025-07-17
200342,900342,R56799660,2,1.5,2025-08-07
200343,900343,R56811920,2,2.0,2025-08-06
200344,900344,R56849313,2,0.0,2025-07-04
200345,900345,R56909387,2,0.0,2025-08-01
200346,900346,R56911226,2,1.5,2025-07-21
200347,900347,R56943102,2,0.0,2025-08-23
200348,900348,R57119033,2,0.0,2025-08-06
200349,900349,R57123324,2,2.0,2025-07-23
200350,900350,R57228147,2,0.0,2025-07-27
200351,900351,R57276574,2,2.0,2025-08-03
200352,900352,R57290673,2,2.0,2025-08-24
200353,900353,R57366685,2,2.0,2025-07-20
200354,900354,,2,0.0,2025-08-02
200355,900355,R57421242,2,0.0,2025-07-16
200356,900356,R57473960,2,2.0,2025-07-24
200357,900357,,2,1.5,2025-07-28
200358,900358,R57516870,2,2.0,2025-08-11
200359,900359,R57608207,2,2.0,2025-08-25
200360,900360,R57616789,2,0.0,2025-07-20
200361,900361,R57671346,2,0.0,2025-08-01
200362,900362,R57677476,2,0.0,2025-07-09
200363,900363,R57745519,2,0.0,2025-07-28
200364,900364,R57768200,2,0.0,2025-07-04
200365,900365,R57837469,2,0.0,2025-07-26
200366,900366,R57866893,2,0.0,2025-08-21
200367,900367,R57965586,2,1.5,2025-08-14
200368,900368,R57971103,2,0.0,2025-07-13
200369,900369,R58031177,2,1.5,2025-07-01
200370,900370,R58102898,2,1.5,2025-08-19
200371,900371,R58146421,2,2.0,2025-08-12
200372,900372,R58167876,2,2.0,2025-08-19
200373,900373,R58188718,2,0.0,2025-07-23
200374,900374,R58196074,2,0.0,2025-08-11
200375,900375,R58223046,2,0.0,2025-07-01
200376,900376,R58226724,2,1.5,2025-08-03
200377,900377,R58251857,2,0.0,2025-07-16
200378,900378,R58276990,2,0.0,2025-07-24
200379,900379,R58310092,2,1.5,2025-07-09
200380,900380,R58357906,2,0.0,2025-08-12
200381,900381,R58368327,2,2.0,2025-08-06
200382,900382,R58384878,2,0.0,2025-08-05
200383,900383,R58482345,2,0.0,2025-08-22
200384,900384,R58521577,2,1.5,2025-08-09
200385,900385,R58541806,2,2.0,2025-08-21
200386,900386,R58576747,2,0.0,2025-08-15
200387,900387,R58577973,2,2.0,2025-07-29
200388,900388,R58750839,2,0.0,2025-08-23
200389,900389,R58751452,2,2.0,2025-07-18
200390,900390,R58809687,2,0.0,2025-07-30
200391,900391,R58847080,2,2.0,2025-07-05
200392,900392,R58854436,2,0.0,2025-07-07
200393,900393,R58901637,2,0.0,2025-08-10
200394,900394,R58917575,2,0.0,2025-08-02
200395,900395,R58931674,2,0.0,2025-07-16
200396,900396,R58986231,2,1.5,2025-07-01
200397,900397,R58986844,2,0.0,2025-07-12
200398,900398,R59040175,2,1.5,2025-08-12
200399,900399,R59092893,2,0.0,2025-07-05
200400,900400,R59144998,2,0.0,2025-07-13
200401,900401,R59154806,2,2.0,2025-08-09
200402,900402,R59168292,2,0.0,2025-07-04
200403,900403,,2,2.0,2025-08-23
200404,900404,,2,0.0,2025-08-23
200405,900405,R59299474,2,0.0,2025-07-11
200406,900406,R59339932,2,1.5,2025-07-02
200407,900407,R59365678,2,0.0,2025-08-25
200408,900408,R59509733,2,0.0,2025-08-02
200409,900409,R59580841,2,2.0,2025-08-08
200410,900410,R59597392,2,0.0,2025-08-11
200411,900411,R59617621,2,0.0,2025-07-06
200412,900412,R59621299,2,0.0,2025-08-09
200413,900413,R59674630,2,2.0,2025-07-13
200414,900414,R59691794,2,0.0,2025-07-12
200415,900415,,2,0.0,2025-08-06
200416,900416,R59865273,2,1.5,2025-08-10
200417,900417,R59886728,2,2.0,2025-08-21
200418,900418,R59960901,2,0.0,2025-07-23
200419,900419,R59992777,2,0.0,2025-08-07
200420,900420,R59997681,2,2.0,2025-08-18
200421,900421,R51008103,2,1.5,2025-07-07
200422,900422,R51017911,2,0.0,2025-07-02
200423,900423,R51054078,2,0.0,2025-08-10
200424,900424,R51111700,2,0.0,2025-07-11
200425,900425,R51131316,2,0.0,2025-08-09
200426,900426,R51144802,2,2.0,2025-07-31
200427,900427,R51147867,2,0.0,2025-08-22
200428,900428,R51161966,2,0.0,2025-08-06
200429,900429,R51242269,2,0.0,2025-07-30
200430,900430,R51315829,2,0.0,2025-07-31
200431,900431,R51366708,2,0.0,2025-08-18
200432,900432,R51372838,2,0.0,2025-07-11
200433,900433,R51481339,2,1.5,2025-08-10
200434,900434,R51493599,2,0.0,2025-08-12
200435,900435,R51594131,2,2.0,2025-07-24
200436,900436,R51621103,2,1.5,2025-07-18
200437,900437,R51626007,2,1.5,2025-08-14
200438,900438,R51643171,2,0.0,2025-07-09
200439,900439,R51668304,2,0.0,2025-08-24
200440,900440,R51809294,2,1.5,2025-08-10
200441,900441,R51978482,2,0.0,2025-07-31
200442,900442,R52014649,2,1.5,2025-08-23
200443,900443,R52114568,2,1.5,2025-07-27
200444,900444,R52195484,2,0.0,2025-08-01
200445,900445,R52244524,2,0.0,2025-07-26
200446,900446,R52286821,2,0.0,2025-07-15
200447,900447,R52353025,2,2.0,2025-07-27
200448,900448,R52392257,2,1.5,2025-07-05
200449,900449,R52446201,2,0.0,2025-07-12
200450,900450,R52466430,2,0.0,2025-07-01
200451,900451,R52570640,2,0.0,2025-07-01
200452,900452,,2,0.0,2025-08-16
200453,900453,R52596999,2,2.0,2025-07-30
200454,900454,R52616615,2,2.0,2025-08-16
200455,900455,R52634392,2,0.0,2025-07-13
200456,900456,R52646039,2,0.0,2025-08-16
200457,900457,R52653395,2,0.0,2025-07-29
200458,900458,R52655234,2,2.0,2025-07-23
200459,900459,R52671172,2,1.5,2025-07-06
200460,900460,R52831165,2,2.0,2025-08-24
200461,900461,R52861202,2,2.0,2025-07-10
200462,900462,R52870397,2,0.0,2025-07-28
200463,900463,R53014452,2,0.0,2025-07-16
200464,900464,R53042650,2,2.0,2025-08-12
200465,900465,R53139504,2,0.0,2025-07-14
200466,900466,R53143182,2,0.0,2025-07-27
200467,900467,R53198965,2,0.0,2025-07-26
200468,900468,R53267621,2,1.5,2025-08-10
200469,900469,R53282946,2,0.0,2025-08-10
200470,900470,R53283559,2,2.0,2025-08-12
200471,900471,R53289076,2,0.0,2025-08-09
200472,900472,R53321565,2,0.0,2025-07-12
200473,900473,R53325243,2,0.0,2025-07-24
200474,900474,R53374283,2,0.0,2025-08-22
200475,900475,R53393899,2,2.0,2025-08-07
200476,900476,R53409224,2,1.5,2025-08-04
200477,900477,R53487688,2,0.0,2025-08-22
200478,900478,R53668523,2,0.0,2025-08-13
200479,900479,R53678331,2,0.0,2025-07-18
200480,900480,R53765377,2,0.0,2025-08-11
200481,900481,R53890429,2,2.0,2025-08-20
200482,900482,R53951729,2,0.0,2025-08-06
200483,900483,R54000769,2,2.0,2025-07-22
200484,900484,R54032645,2,0.0,2025-07-08
200485,900485,R54073103,2,0.0,2025-08-01
200486,900486,R54078620,2,0.0,2025-07-17
200487,900487,R54085976,2,0.0,2025-07-13
200488,900488,R54234935,2,1.5,2025-07-24
200489,900489,R54256390,2,0.0,2025-07-12
200490,900490,R54264359,2,1.5,2025-08-04
200491,900491,R54378990,2,2.0,2025-07-27
200492,900492,R54420674,2,0.0,2025-07-14
200493,900493,R54434773,2,0.0,2025-08-01
200494,900494,,2,2.0,2025-08-14
200495,900495,R54461745,2,0.0,2025-07-21
200496,900496,R54477683,2,0.0,2025-08-22
200497,900497,R54569633,2,0.0,2025-07-17
200498,900498,,2,0.0,2025-07-26
200499,900499,R54592314,2,2.0,2025-07-03
200500,900500,R54623577,2,0.0,2025-08-23
200501,900501,R54634611,2,0.0,2025-07-12
200502,900502,R54693459,2,0.0,2025-08-24
200503,900503,R54816672,2,2.0,2025-07-25
200504,900504,R54836288,2,0.0,2025-08-03
200505,900505,R54841192,2,0.0,2025-08-10
200506,900506,R54889619,2,0.0,2025-08-09
200507,900507,R54900653,2,2.0,2025-07-29
200508,900508,R54936820,2,2.0,2025-08-11
200509,900509,,2,0.0,2025-08-23
200510,900510,R54977278,2,2.0,2025-08-15
200511,900511,,2,1.5,2025-07-08
200512,900512,R55054516,2,0.0,2025-07-04
200513,900513,R55194893,2,2.0,2025-07-15
200514,900514,R55228608,2,1.5,2025-07-28
200515,900515,R55266001,2,0.0,2025-07-09
200516,900516,R55280713,2,2.0,2025-08-21
200517,900517,,2,1.5,2025-08-15
200518,900518,R55402700,2,0.0,2025-07-28
200519,900519,R55410056,2,0.0,2025-08-03
200520,900520,R55517944,2,2.0,2025-08-23
200521,900521,R55532043,2,0.0,2025-08-07
200522,900522,R55540625,2,1.5,2025-07-12
200523,900523,R55600086,2,0.0,2025-07-03
200524,900524,R55623380,2,0.0,2025-07-14
200525,900525,,2,0.0,2025-08-02
200526,900526,R55645448,2,0.0,2025-08-05
200527,900527,R55703683,2,2.0,2025-07-28
200528,900528,R55713491,2,1.5,2025-07-20
200529,900529,R55732494,2,0.0,2025-07-25
200530,900530,R55746593,2,0.0,2025-07-31
200531,900531,,2,0.0,2025-07-25
200532,900532,R55839769,2,2.0,2025-08-23
200533,900533,R55852029,2,2.0,2025-07-12
200534,900534,R55902295,2,0.0,2025-07-14
200535,900535,R55906586,2,0.0,2025-08-07
200536,900536,R55947657,2,1.5,2025-08-23
200537,900537,R55953174,2,0.0,2025-08-18
200538,900538,R56097229,2,2.0,2025-08-23
200539,900539,R56115619,2,0.0,2025-07-03
200540,900540,R56157303,2,2.0,2025-08-01
200541,900541,R56213699,2,0.0,2025-07-12
200542,900542,R56227798,2,0.0,2025-07-21
200543,900543,R56231476,2,1.5,2025-07-17
200544,900544,R56269482,2,0.0,2025-08-16
200545,900545,R56283581,2,2.0,2025-07-30
200546,900546,R56297680,2,1.5,2025-07-24
200547,900547,R56324039,2,2.0,2025-08-07
200548,900548,R56344268,2,1.5,2025-07-14
200549,900549,R56360206,2,0.0,2025-07-29
200550,900550,R56373692,2,0.0,2025-07-26
200551,900551,R56378596,2,0.0,2025-08-11
200552,900552,R56453995,2,2.0,2025-07-06
200553,900553,R56510391,2,0.0,2025-08-12
200554,900554,R56512230,2,0.0,2025-08-08
200555,900555,R56681418,2,0.0,2025-07-29
200556,900556,R56688774,2,0.0,2025-08-24
200557,900557,R56815665,2,0.0,2025-07-20
200558,900558,R56851832,2,2.0,2025-07-24
200559,900559,R56853671,2,0.0,2025-08-17
200560,900560,R56995274,2,0.0,2025-07-31
200561,900561,R57000178,2,0.0,2025-07-09
200562,900562,R57000791,2,0.0,2025-08-20
200563,900563,R57018568,2,0.0,2025-08-08
200564,900564,R57038797,2,1.5,2025-07-22
200565,900565,,2,2.0,2025-07-30
200566,900566,R57165688,2,0.0,2025-08-20
200567,900567,R57221471,2,0.0,2025-08-20
200568,900568,R57244765,2,0.0,2025-08-25
200569,900569,R57260090,2,0.0,2025-08-04
200570,900570,R57261929,2,0.0,2025-07-16
200571,900571,R57293805,2,2.0,2025-08-16
200572,900572,R57390046,2,0.0,2025-08-07
200573,900573,R57486900,2,2.0,2025-07-01
200574,900574,,2,0.0,2025-08-16
200575,900575,R57695933,2,1.5,2025-07-14
200576,900576,R57749264,2,1.5,2025-08-11
200577,900577,R57812403,2,1.5,2025-07-04
200578,900578,R57892706,2,2.0,2025-07-02
200579,900579,R57973009,2,2.0,2025-07-14
200580,900580,R58034309,2,0.0,2025-08-24
200581,900581,R58108482,2,0.0,2025-07-28
200582,900582,R58215144,2,0.0,2025-08-24
200583,900583,R58237825,2,0.0,2025-08-23
200584,900584,R58305255,2,0.0,2025-07-30
200585,900585,R58334679,2,2.0,2025-08-25
200586,900586,R58358586,2,0.0,2025-08-04
