ligne_id,vente_id,ext_id,session_id,famille,designation,quantite,total,vente_date
17874.0,408554.0,R53792349,,ACCESSORIES,MUG CERAMIQUE,1.0,12.0,2025-12-23
17875.0,408554.0,R53792349,,ESSENTIALS,SWEAT ESSENTIEL CREW,1.0,55.0,2025-12-23
17986.0,408606.0,R56374918,1015.0,ESSENTIALS,SWEAT ESSENTIEL CREW,1.0,49.5,2025-12-23
18447.0,408830.0,R53132617,,ACCESSORIES,MUG CERAMIQUE,1.0,12.0,2025-12-28
18448.0,408830.0,R53132617,,ACCESSORIES,MUG CERAMIQUE,1.0,12.0,2025-12-28
18449.0,408830.0,R53132617,,ESSENTIALS,SWEAT ESSENTIEL CREW,1.0,55.0,2025-12-28
216.0,400101.0,R58977170,,FAN SEGMENT,ECHARPE SUPPORTER,3.0,60.0,2025-08-30
1351.0,400657.0,R54426392,,HEADWEAR,BONNET HIVER,1.0,25.0,2025-09-21
1352.0,400657.0,R54426392,,MATCHWEAR,MAILLOT FLOQUE JOUEUR,1.0,88.2,2025-09-21
1353.0,400657.0,R54426392,,HEADWEAR,BONNET HIVER,1.0,22.5,2025-09-21
1404.0,400680.0,R58901081,,ACCESSORIES,MUG CERAMIQUE,1.0,12.0,2025-09-22
2264.0,401121.0,R55757282,,ACCESSORIES,MUG CERAMIQUE,1.0,12.0,2025-10-08
2265.0,401121.0,R55757282,,MATCHWEAR,MAILLOT DOMICILE,3.0,270.0,2025-10-08
2370.0,401175.0,R57545748,,ESSENTIALS,CHAUSSETTES PAIRE,1.0,12.0,2025-10-09
4044.0,401975.0,R55952427,,FAN SEGMENT,T-SHIRT FAN LOGO,2.0,63.0,2025-10-15
4371.0,402122.0,R57195246,,ESSENTIALS,T-SHIRT ESSENTIEL UNI,3.0,75.0,2025-10-15
4491.0,402180.0,R51708762,,ESSENTIALS,SWEAT ESSENTIEL CREW,1.0,55.0,2025-10-15
6937.0,403358.0,R57545748,,FAN SEGMENT,T-SHIRT FAN LOGO,1.0,31.5,2025-10-28
7290.0,403534.0,R51590175,,ESSENTIALS,T-SHIRT ESSENTIEL UNI,1.0,25.0,2025-10-28
7309.0,403542.0,R55145163,1018.0,FAN SEGMENT,T-SHIRT FAN REVERSIBLE,1.0,39.0,2025-10-28
7875.0,403796.0,R59248585,,MATCHWEAR,SHORT DE MATCH,1.0,55.0,2025-11-01
8123.0,403916.0,R57545748,,FAN SEGMENT,ECHARPE SUPPORTER,1.0,20.0,2025-11-06
8124.0,403916.0,R57545748,,MATCHWEAR,MAILLOT DOMICILE,1.0,81.0,2025-11-06
8124.0,403916.0,R57545748,,MATCHWEAR,MAILLOT DOMICILE,1.0,81.0,2025-11-06
9080.0,404382.0,R57545748,,MATCHWEAR,MAILLOT DOMICILE,1.0,81.0,2025-11-09
9327.0,404505.0,R57195246,,ESSENTIALS,T-SHIRT ESSENTIEL UNI,1.0,25.0,2025-11-09
9328.0,404505.0,R57195246,,FAN SEGMENT,ECHARPE SUPPORTER,1.0,20.0,2025-11-09
9329.0,404505.0,R57195246,,FAN SEGMENT,ECHARPE SUPPORTER,1.0,20.0,2025-11-09
9330.0,404505.0,R57195246,,MATCHWEAR,SHORT DE MATCH,1.0,55.0,2025-11-09
10138.0,404890.0,R52136502,,FAN SEGMENT,T-SHIRT FAN REVERSIBLE,1.0,33.15,2025-11-11
10139.0,404890.0,R52136502,,FAN SEGMENT,T-SHIRT FAN REVERSIBLE,1.0,39.0,2025-11-11
10773.0,405182.0,R59472742,1007.0,MATCHWEAR,MAILLOT FLOQUE JOUEUR,1.0,98.0,2025-11-13
12900.0,406182.0,R55057581,,ACCESSORIES,MUG CERAMIQUE,1.0,12.0,2025-12-06
13432.0,406438.0,R51175720,,MATCHWEAR,SHORT DE MATCH,1.0,55.0,2025-12-07
14129.0,406773.0,R58986087,,ACCESSORIES,PORTE-CLES METAL,1.0,3.0,2025-12-09
14130.0,406773.0,R58986087,,ACCESSORIES,MUG CERAMIQUE,1.0,12.0,2025-12-09
14249.0,406830.0,R55952427,,ACCESSORIES,MUG CERAMIQUE,2.0,24.0,2025-12-11
14620.0,407003.0,R51590175,,ACCESSORIES,GOURDE ISOTHERME,1.0,22.0,2025-12-11
15298.0,407335.0,R57558678,,FAN SEGMENT,DRAPEAU TRIBUNE,1.0,15.0,2025-12-13
15299.0,407335.0,R57558678,,ACCESSORIES,PORTE-CLES METAL,1.0,8.0,2025-12-13
15300.0,407335.0,R57558678,,FAN SEGMENT,ECHARPE SUPPORTER,1.0,20.0,2025-12-13
15947.0,407641.0,R56316539,,FAN SEGMENT,ECHARPE SUPPORTER,1.0,20.0,2025-12-16
15948.0,407641.0,R56316539,,ACCESSORIES,PORTE-CLES METAL,1.0,8.0,2025-12-16
15949.0,407641.0,R56316539,,ESSENTIALS,SWEAT ESSENTIEL CREW,1.0,55.0,2025-12-16
16265.0,407786.0,R52106733,,FAN SEGMENT,ECHARPE SUPPORTER,1.0,20.0,2025-12-16
16266.0,407786.0,R52106733,,MATCHWEAR,MAILLOT DOMICILE,2.0,180.0,2025-12-16
16419.0,407852.0,R57993640,,FAN SEGMENT,T-SHIRT FAN LOGO,1.0,35.0,2025-12-16
16420.0,407852.0,R57993640,,FAN SEGMENT,T-SHIRT FAN REVERSIBLE,1.0,39.0,2025-12-16
16428.0,407857.0,R55102665,,ACCESSORIES,MUG CERAMIQUE,1.0,12.0,2025-12-16
1243.0,400611.0,R53749429,,ESSENTIALS,CHAUSSETTES PAIRE,1.0,12.0,2025-09-21
1244.0,400611.0,R53749429,,FAN SEGMENT,T-SHIRT FAN REVERSIBLE,1.0,39.0,2025-09-21
1245.0,400611.0,R53749429,,ACCESSORIES,MUG CERAMIQUE,1.0,12.0,2025-09-21
1419.0,400689.0,R54455471,,FAN SEGMENT,DRAPEAU TRIBUNE,1.0,15.0,2025-09-23
1687.0,400819.0,R58553855,,MATCHWEAR,MAILLOT EXTERIEUR,1.0,90.0,2025-09-28
3259.0,401592.0,R51392933,,ESSENTIALS,T-SHIRT ESSENTIEL UNI,1.0,22.5,2025-10-12
3260.0,401592.0,R51392933,,FAN SEGMENT,T-SHIRT FAN REVERSIBLE,1.0,39.0,2025-10-12
3261.0,401592.0,R51392933,,MATCHWEAR,MAILLOT EXTERIEUR,2.0,162.0,2025-10-12
3463.0,401699.0,R57691699,,ACCESSORIES,PORTE-CLES METAL,1.0,8.0,2025-10-12
4330.0,402103.0,R57691699,,FAN SEGMENT,ECHARPE SUPPORTER,1.0,18.0,2025-10-15
4331.0,402103.0,R57691699,,FAN SEGMENT,T-SHIRT FAN REVERSIBLE,1.0,35.1,2025-10-15
4332.0,402103.0,R57691699,,MATCHWEAR,MAILLOT EXTERIEUR,1.0,81.0,2025-10-15
4394.0,402128.0,R59293746,,HEADWEAR,BONNET HIVER,1.0,25.0,2025-10-15
4769.0,402325.0,R54221717,,FAN SEGMENT,T-SHIRT FAN REVERSIBLE,1.0,39.0,2025-10-16
4819.0,402350.0,R51392933,,FAN SEGMENT,T-SHIRT FAN LOGO,1.0,31.5,2025-10-17
4820.0,402350.0,R51392933,,FAN SEGMENT,T-SHIRT FAN LOGO,1.0,31.5,2025-10-17
4821.0,402350.0,R51392933,,LIMITED EDITION,T-SHIRT DROP CAPSULE,3.0,121.5,2025-10-17
4864.0,402367.0,R54008671,,MATCHWEAR,MAILLOT DOMICILE,1.0,81.0,2025-10-17
5167.0,402518.0,R58072449,1003.0,ESSENTIALS,SWEAT ESSENTIEL CREW,1.0,55.0,2025-10-17
5168.0,402518.0,R58072449,1003.0,ESSENTIALS,CHAUSSETTES PAIRE,1.0,12.0,2025-10-17
5169.0,402518.0,R58072449,1003.0,MATCHWEAR,MAILLOT DOMICILE,1.0,90.0,2025-10-17
5891.0,402861.0,R54008671,,ACCESSORIES,MUG CERAMIQUE,2.0,21.6,2025-10-19
5892.0,402861.0,R54008671,,FAN SEGMENT,T-SHIRT FAN REVERSIBLE,1.0,35.1,2025-10-19
5893.0,402861.0,R54008671,,LIMITED EDITION,T-SHIRT DROP CAPSULE,1.0,45.0,2025-10-19
6885.0,403337.0,R54008671,,ACCESSORIES,PORTE-CLES METAL,1.0,7.2,2025-10-28
6886.0,403337.0,R54008671,,FAN SEGMENT,ECHARPE SUPPORTER,1.0,20.0,2025-10-28
7142.0,403464.0,R57691699,,ACCESSORIES,PORTE-CLES METAL,1.0,7.2,2025-10-28
9343.0,404511.0,R53869989,,MATCHWEAR,MAILLOT FLOQUE JOUEUR,3.0,294.0,2025-11-09
9344.0,404511.0,R53869989,,FAN SEGMENT,DRAPEAU TRIBUNE,1.0,15.0,2025-11-09
9345.0,404511.0,R53869989,,MATCHWEAR,MAILLOT FLOQUE JOUEUR,2.0,196.0,2025-11-09
9346.0,404511.0,R53869989,,ESSENTIALS,T-SHIRT ESSENTIEL UNI,1.0,25.0,2025-11-09
9347.0,404511.0,R53869989,,FAN SEGMENT,T-SHIRT FAN LOGO,1.0,35.0,2025-11-09
10410.0,405025.0,R51392933,,MATCHWEAR,MAILLOT EXTERIEUR,1.0,90.0,2025-11-13
10411.0,405025.0,R51392933,,FAN SEGMENT,HOODIE FAN CAPUCHE,2.0,138.0,2025-11-13
10412.0,405025.0,R51392933,,ACCESSORIES,MUG CERAMIQUE,1.0,12.0,2025-11-13
10413.0,405025.0,R51392933,,ESSENTIALS,CHAUSSETTES PAIRE,1.0,10.8,2025-11-13
10414.0,405025.0,R51392933,,MATCHWEAR,MAILLOT EXTERIEUR,1.0,81.0,2025-11-13
10731.0,405159.0,R57691699,,FAN SEGMENT,HOODIE FAN CAPUCHE,1.0,69.0,2025-11-13
10920.0,405253.0,R52545430,,FAN SEGMENT,HOODIE FAN CAPUCHE,1.0,69.0,2025-11-13
11155.0,405373.0,R52703651,,FAN SEGMENT,DRAPEAU TRIBUNE,1.0,15.0,2025-11-13
11156.0,405373.0,R52703651,,FAN SEGMENT,T-SHIRT FAN LOGO,1.0,29.75,2025-11-13
11157.0,405373.0,R52703651,,HEADWEAR,BONNET HIVER,2.0,50.0,2025-11-13
12809.0,406146.0,R58761116,,MATCHWEAR,MAILLOT DOMICILE,1.0,90.0,2025-12-05
12810.0,406146.0,R58761116,,ACCESSORIES,MUG CERAMIQUE,1.0,9.6,2025-12-05
12811.0,406146.0,R58761116,,ACCESSORIES,GOURDE ISOTHERME,1.0,22.0,2025-12-05
12812.0,406146.0,R58761116,,SKYLINE,TOTE BAG SKYLINE,1.0,18.0,2025-12-05
13296.0,406368.0,R57691699,,MATCHWEAR,MAILLOT EXTERIEUR,1.0,90.0,2025-12-07
13297.0,406368.0,R57691699,,MATCHWEAR,MAILLOT FLOQUE JOUEUR,1.0,98.0,2025-12-07
