payment_id,order_id,ext_id,payment_type_id,amount,payment_date
300280,900181,R59252819,2,1921.63,2025-08-23
300282,900183,R59306763,2,2348.82,2025-07-09
300286,900185,R59523152,2,1459.05,2025-07-28
300299,900193,R59703987,2,1103.21,2025-07-31
300305,900197,R59741380,2,533.8,2025-07-15
300312,900202,R59897082,2,1459.05,2025-08-25
300336,900216,,2,5338.01,2025-08-12
300337,900217,R51529699,2,1459.0,2025-08-14
300356,900228,R51994966,2,4626.0,2025-08-14
300377,900242,R52745891,2,604.95,2025-08-09
300388,900252,R53037066,2,4626.0,2025-08-20
300394,900256,R53136372,2,2758.0,2025-08-17
300402,900262,R53410383,2,604.95,2025-07-12
300414,900268,R53610834,2,2758.11,2025-07-09
300430,900279,R54033804,2,1459.05,2025-08-17
300437,900284,R54331722,2,605.0,2025-08-25
300444,900289,R54521139,2,4626.0,2025-07-23
300451,900294,R54678680,2,9074.71,2025-08-01
300452,900295,R54695844,2,604.95,2025-08-22
300455,900297,R54953304,2,1921.63,2025-07-11
300460,900300,R55146399,2,11743.68,2025-08-07
300472,900307,R55496422,2,1103.21,2025-07-15
300483,900314,R55751430,2,1103.21,2025-07-12
300485,900315,R55753882,2,605.0,2025-08-10
300488,900317,R55844606,2,801.0,2025-07-19
300496,900322,R56251638,2,800.67,2025-08-06
300497,900323,R56275545,2,1103.0,2025-07-29
300508,900330,R56490095,2,1459.05,2025-07-10
300510,900332,R56538522,2,2758.0,2025-08-11
300514,900334,R56542813,2,1103.0,2025-07-16
300519,900336,R56555073,2,1103.0,2025-08-10
300522,900338,R56630472,2,604.95,2025-08-03
300526,900342,R56799660,2,1459.0,2025-08-07
300533,900345,R56909387,2,801.0,2025-08-01
300536,900347,R56943102,2,605.0,2025-08-23
300556,900356,R57473960,2,1103.21,2025-07-24
300558,900357,,2,1459.05,2025-07-28
300560,900359,R57608207,2,1103.21,2025-08-25
300574,900365,R57837469,2,1103.0,2025-07-26
300585,900372,R58167876,2,801.0,2025-08-19
300595,900378,R58276990,2,1459.05,2025-07-24
300596,900379,R58310092,2,2348.82,2025-07-09
300601,900382,R58384878,2,2348.82,2025-08-05
300603,900383,R58482345,2,1459.05,2025-08-22
300607,900385,R58541806,2,801.0,2025-08-21
300608,900386,R58576747,2,14590.64,2025-08-15
300613,900390,R58809687,2,5694.0,2025-07-30
300615,900392,R58854436,2,604.95,2025-07-07
300618,900393,R58901637,2,2758.11,2025-08-10
300627,900398,R59040175,2,604.95,2025-08-12
300631,900401,R59154806,2,1459.05,2025-08-09
300633,900403,,2,604.95,2025-08-23
300637,900406,R59339932,2,5338.01,2025-07-02
300638,900407,R59365678,2,2348.82,2025-08-25
300652,900415,,2,801.0,2025-08-06
300659,900422,R51017911,2,605.0,2025-07-02
300660,900423,R51054078,2,4626.38,2025-08-10
300664,900425,R51131316,2,2348.82,2025-08-09
300679,900434,R51493599,2,2348.82,2025-08-12
300681,900435,R51594131,2,1103.21,2025-07-24
300683,900436,R51621103,2,605.0,2025-07-18
300688,900440,R51809294,2,800.67,2025-08-10
300691,900442,R52014649,2,1459.05,2025-08-23
300697,900446,R52286821,2,1103.0,2025-07-15
300699,900448,R52392257,2,1103.21,2025-07-05
300716,900457,R52653395,2,4626.0,2025-07-29
300719,900458,R52655234,2,800.67,2025-07-23
300720,900459,R52671172,2,1921.63,2025-07-06
300721,900460,R52831165,2,2758.11,2025-08-24
300722,900461,R52861202,2,1103.21,2025-07-10
300723,900462,R52870397,2,1459.05,2025-07-28
300725,900463,R53014452,2,4626.38,2025-07-16
300727,900465,R53139504,2,605.0,2025-07-14
300728,900466,R53143182,2,2348.82,2025-07-27
300730,900468,R53267621,2,1921.63,2025-08-10
300746,900478,R53668523,2,1459.0,2025-08-13
300753,900484,R54032645,2,9075.0,2025-07-08
300759,900488,R54234935,2,2758.11,2025-07-24
300765,900491,R54378990,2,5338.0,2025-07-27
300766,900492,R54420674,2,4626.38,2025-07-14
300772,900497,R54569633,2,605.0,2025-07-17
300774,900498,,2,1459.05,2025-07-26
300776,900500,R54623577,2,1103.21,2025-08-23
300780,900502,R54693459,2,604.95,2025-08-24
300784,900505,R54841192,2,1103.0,2025-08-10
300785,900506,R54889619,2,2758.0,2025-08-09
300792,900510,R54977278,2,4626.38,2025-08-15
300801,900516,R55280713,2,2348.82,2025-08-21
300807,900520,R55517944,2,9075.0,2025-08-23
300817,900527,R55703683,2,2348.82,2025-07-28
300828,900533,R55852029,2,1103.21,2025-07-12
300833,900536,R55947657,2,2348.82,2025-08-23
300835,900537,R55953174,2,604.95,2025-08-18
300837,900539,R56115619,2,2758.0,2025-07-03
300848,900545,R56283581,2,1459.05,2025-07-30
300854,900551,R56378596,2,4626.38,2025-08-11
300857,900553,R56510391,2,1921.63,2025-08-12
300859,900554,R56512230,2,1921.63,2025-08-08
300862,900555,R56681418,2,1921.63,2025-07-29
300876,900563,R57018568,2,605.0,2025-08-08
300892,900573,R57486900,2,800.67,2025-07-01
300903,900579,R57973009,2,1922.0,2025-07-14
300915,900587,R58380654,2,1103.0,2025-08-23
300924,900594,R58540647,2,1103.0,2025-07-14
300926,900595,R58562715,2,1103.0,2025-07-17
300931,900598,R58652826,2,2758.11,2025-07-14
300940,900605,R59026143,2,5694.0,2025-07-02
300943,900608,R59122384,2,1103.21,2025-07-28
300956,900615,R59426432,2,2758.11,2025-08-08
300959,900617,R59533707,2,2758.11,2025-07-02
300964,900620,R59694313,2,2349.0,2025-08-19
300985,900633,R59934609,2,1921.63,2025-08-12
300986,900634,R59963420,2,604.95,2025-08-21
300988,900635,R59973841,2,534.0,2025-08-04
300995,900638,R51032077,2,1921.63,2025-08-08
300999,900642,R51175519,2,1103.21,2025-08-14
301018,900655,R51621783,2,4626.38,2025-07-09
301022,900657,R51689213,2,2348.82,2025-08-05
301028,900660,R51854110,2,4626.38,2025-07-20
301029,900661,R51971806,2,605.0,2025-08-23
301044,900672,R52587871,2,4626.38,2025-08-17
301055,900679,R52932377,2,4626.38,2025-07-07
301061,900682,R52979578,2,1459.0,2025-07-15
301066,900685,R53145701,2,1103.21,2025-07-30
301075,900692,,2,9074.71,2025-07-05
301095,900702,,2,604.95,2025-07-31
301104,900706,R54209869,2,1921.63,2025-08-21
301105,900707,R54229485,2,2349.0,2025-07-31
301109,900710,R54378444,2,2758.11,2025-08-11
301112,900713,R54589316,2,604.95,2025-08-15
301118,900716,R54678814,2,1921.63,2025-07-30
301128,900721,,2,1459.05,2025-07-01
301142,900729,R55267907,2,2758.0,2025-07-13
301145,900731,R55353727,2,801.0,2025-07-20
301149,900734,,2,1459.05,2025-07-20
301155,900739,R55880907,2,2758.11,2025-08-07
301158,900740,R55888263,2,800.67,2025-08-13
301161,900742,R55991247,2,604.95,2025-07-23
301162,900743,R56048869,2,4626.38,2025-07-01
301172,900749,R56256063,2,5338.01,2025-08-06
301173,900750,R56545399,2,1921.63,2025-07-26
301178,900754,R56826153,2,2758.0,2025-07-13
301182,900756,R56937719,2,1103.0,2025-08-06
301188,900760,R57231959,2,5694.0,2025-08-16
301206,900771,R57649412,2,801.0,2025-07-27
301208,900773,R57726037,2,1103.21,2025-08-21
301213,900778,,2,5693.84,2025-07-01
301216,900779,,2,1459.05,2025-08-07
301224,900783,R58016599,2,800.67,2025-08-19
301232,900789,R58162493,2,1921.63,2025-08-09
301236,900792,R58217050,2,1922.0,2025-08-22
301240,900795,R58373365,2,604.95,2025-08-09
301241,900796,R58387464,2,1459.05,2025-08-21
301245,900799,R58465315,2,1459.05,2025-08-20
301263,900809,R59310029,2,9074.71,2025-07-27
301265,900811,R59357230,2,11744.0,2025-07-30
301267,900813,R59482282,2,801.0,2025-07-10
301274,900818,R59649018,2,1459.05,2025-08-22
301280,900820,R59691928,2,604.95,2025-07-16
301281,900821,R59709092,2,1921.63,2025-07-01
301285,900824,R59771618,2,800.67,2025-07-20
301296,900832,R51424464,2,604.95,2025-07-14
301324,900848,R52028269,2,2758.11,2025-07-17
301325,900849,R52141061,2,1459.05,2025-07-16
301332,900853,R52286955,2,605.0,2025-07-17
301334,900854,R52297989,2,4626.38,2025-07-18
301342,900859,R52465338,2,2348.82,2025-08-06
301344,900860,R52523573,2,5693.84,2025-08-19
301347,900861,R52614297,2,1103.21,2025-07-24
301350,900863,R52673145,2,801.0,2025-08-22
301357,900866,R52766934,2,2758.0,2025-07-21
301358,900867,R52820265,2,1921.63,2025-07-30
301360,900869,R52980871,2,1459.0,2025-08-20
301381,900882,R53596323,2,605.0,2025-08-08
301383,900884,,2,800.67,2025-08-22
301386,900886,,2,1103.0,2025-07-07
301399,900892,R54224035,2,604.95,2025-08-06
301417,900902,R54576510,2,2348.82,2025-08-09
301418,900903,,2,2758.11,2025-07-22
301419,900904,,2,1921.63,2025-07-01
301435,900914,R55331113,2,1103.21,2025-07-12
301443,900920,R55724659,2,2758.11,2025-07-18
301445,900921,R55762052,2,801.0,2025-08-10
301453,900928,R56217511,2,4626.0,2025-07-11
301456,900930,R56383021,2,2349.0,2025-08-07
301457,900931,R56391603,2,2348.82,2025-08-11
301480,900947,R56992956,2,801.0,2025-07-10
301482,900949,R57010120,2,11744.0,2025-07-28
301495,900959,R57262063,2,1103.0,2025-08-19
301501,900962,R57546495,2,800.67,2025-08-06
301522,900976,R58140492,2,1103.0,2025-08-12
301527,900978,R58191984,2,800.67,2025-08-17
301535,900982,R58244089,2,2348.82,2025-07-30
301536,900983,R58353203,2,2758.11,2025-07-26
301549,900992,R58893869,2,4626.38,2025-08-04
301559,900999,R59378752,2,801.0,2025-08-02
301563,901003,R59661345,2,1459.0,2025-07-23
301572,901009,R59847084,2,2758.11,2025-07-19
301581,901013,R51043245,2,1103.21,2025-08-09
301582,901014,R51067152,2,11387.82,2025-07-29
301584,901016,R51121096,2,1921.63,2025-07-14
301586,901018,R51232049,2,2758.11,2025-08-08
301588,901020,R51295801,2,1103.0,2025-08-03
301590,901022,R51356488,2,4626.38,2025-07-25
301594,901024,R51400624,2,1459.05,2025-08-19
301600,901029,R51564295,2,11387.82,2025-07-12
301601,901030,R51602914,2,1459.0,2025-08-01
301602,901031,R51615787,2,4626.0,2025-07-12
301626,901045,R52016689,2,1103.21,2025-08-16
301630,901048,R52136837,2,1459.05,2025-08-14
301645,901055,R52470309,2,1103.21,2025-08-09
301655,901062,R52895118,2,1103.0,2025-07-24
301662,901067,R53105990,2,800.67,2025-07-07
301663,901068,R53115185,2,1921.63,2025-07-31
301664,901069,R53134188,2,1459.0,2025-07-19
301666,901071,R53239624,2,1922.0,2025-08-23
301668,901072,R53252497,2,1459.0,2025-07-12
301675,901078,R53540607,2,11388.0,2025-08-11
301678,901081,R53655851,2,1103.21,2025-07-26
301683,901086,R53803584,2,801.0,2025-07-18
301684,901087,R53839751,2,2758.11,2025-08-18
301690,901091,R53976450,2,1459.05,2025-08-06
301710,901103,R54425779,2,604.95,2025-07-20
301712,901104,R54620100,2,604.95,2025-08-10
301717,901109,R54835263,2,2758.0,2025-07-04
301728,901118,R55550021,2,1459.05,2025-07-04
301729,901119,R55638293,2,1459.0,2025-07-03
301730,901120,R55705723,2,800.67,2025-08-14
301739,901126,R55983412,2,2348.82,2025-08-11
301744,901129,R56041034,2,1459.05,2025-08-03
301746,901130,R56115207,2,2758.0,2025-08-08
301749,901132,R56297268,2,2758.0,2025-07-07
301758,901137,R56536951,2,1459.05,2025-08-24
301760,901138,R56578635,2,800.67,2025-07-22
301766,901144,R56840999,2,5693.84,2025-08-21
301767,901145,,2,1459.05,2025-07-09
301774,901148,R57172632,2,11744.0,2025-08-01
301775,901149,R57177536,2,1459.0,2025-07-06
301778,901151,R57260291,2,1459.05,2025-07-28
301786,901158,R57749465,2,1103.21,2025-08-14
301790,901161,R57777663,2,2758.11,2025-08-20
301798,901166,R58143624,2,1103.0,2025-07-23
301799,901167,R58147915,2,604.95,2025-07-11
301814,901178,R58494260,2,1103.21,2025-07-28
301817,901179,R58567207,2,2348.82,2025-08-25
301818,901180,R58574563,2,2348.82,2025-07-27
301825,901186,R58922134,2,2758.11,2025-07-10
301839,901194,R59571914,2,1459.05,2025-07-18
301845,901197,R59711678,2,2348.82,2025-07-13
301846,901198,R59733746,2,5693.84,2025-08-16
301859,901204,,2,2758.11,2025-07-14
301862,901206,R51188593,2,605.0,2025-08-04
301865,901208,R51248054,2,801.0,2025-08-06
301877,901219,R51959747,2,5693.84,2025-08-06
301881,901222,R52097059,2,604.95,2025-08-07
301886,901224,R52255826,2,2348.82,2025-07-30
301887,901225,R52260730,2,1459.05,2025-08-25
301895,901231,R52566004,2,1921.63,2025-07-02
301908,901236,R52771359,2,2348.82,2025-08-03
301915,901240,R52817334,2,1459.05,2025-07-24
301924,901246,R53031884,2,1921.63,2025-08-01
301938,901254,R53529640,2,1459.0,2025-07-19
301944,901258,R53665726,2,1103.0,2025-07-31
301949,901260,R53769323,2,800.67,2025-08-15
301952,901261,R53816524,2,1103.0,2025-07-12
301959,901265,R53944641,2,800.67,2025-08-06
301968,901271,R54186163,2,1103.21,2025-08-03
301983,901282,R54787516,2,1459.05,2025-07-09
301992,901288,R55147960,2,5338.01,2025-08-11
302016,901304,R55878043,2,800.67,2025-08-02
302037,901319,R56575024,2,1921.63,2025-07-15
302039,901321,R56619160,2,1921.63,2025-07-27
302042,901323,,2,1459.05,2025-07-09
302043,901324,R56716014,2,800.67,2025-08-12
302053,901330,R57156761,2,800.67,2025-08-23
302054,901331,R57174538,2,604.95,2025-08-17
302060,901335,R57385410,2,1103.21,2025-08-08
302064,901337,R57498815,2,800.67,2025-07-19
302073,901342,R57760566,2,800.67,2025-07-31
302079,901346,R57970212,2,2349.0,2025-08-17
302083,901348,R58054193,2,1459.0,2025-08-01
302091,901353,R58330656,2,2349.0,2025-07-11
302104,901362,R58707651,2,2758.0,2025-07-03
302110,901367,R58958368,2,604.95,2025-07-31
302117,901372,R59166788,2,4626.38,2025-07-20
302130,901379,R59477579,2,1459.0,2025-08-15
302133,901380,R59657188,2,1459.05,2025-07-24
302134,901381,R59661479,2,1459.05,2025-07-04
302139,901386,R59882159,2,4626.38,2025-07-11
302147,901391,R51101614,2,1103.21,2025-08-22
302150,901393,R51213793,2,800.67,2025-07-22
302152,901394,R51232796,2,2758.11,2025-08-12
302153,901395,R51255477,2,604.95,2025-07-10
302158,901399,R51414857,2,1459.05,2025-08-22
302161,901401,R51494547,2,1921.63,2025-07-30
302167,901405,R51664961,2,800.67,2025-07-24
302172,901408,R51698676,2,1459.05,2025-08-13
302177,901411,R51905870,2,2348.82,2025-07-19
302179,901412,R52003337,2,1103.0,2025-07-04
302180,901413,,2,2758.0,2025-07-10
302186,901417,R52288382,2,1459.0,2025-08-10
302190,901421,R52446536,2,2758.11,2025-07-06
302205,901432,R53255696,2,1921.63,2025-07-14
302215,901437,R53335999,2,800.67,2025-07-02
302243,901452,,2,1103.21,2025-07-27
302249,901457,R54224849,2,1459.05,2025-08-12
302261,901463,R54555256,2,5338.01,2025-07-03
302263,901465,R54607974,2,1921.63,2025-07-13
302269,901468,R54801069,2,1103.0,2025-07-03
302271,901470,R54838462,2,2758.0,2025-08-06
302278,901476,R55171934,2,4626.38,2025-07-07
302279,901477,R55214844,2,604.95,2025-08-02
302286,901481,R55482112,2,9074.71,2025-08-01
302293,901484,R55567932,2,2348.82,2025-08-09
302302,901489,R55834587,2,1459.0,2025-08-19
302305,901490,,2,604.95,2025-07-04
302312,901493,R55905695,2,2758.11,2025-07-08
302328,901501,R56642521,2,1921.63,2025-07-06
302329,901502,,2,604.95,2025-07-17
302330,901503,R56723437,2,1459.05,2025-07-03
302342,901512,,2,2348.82,2025-07-26
302344,901513,,2,604.95,2025-08-10
302350,901516,R57037906,2,604.95,2025-07-29
302359,901522,R57303948,2,2758.11,2025-08-20
302360,901523,R57349310,2,800.67,2025-07-18
302369,901530,R57693816,2,800.67,2025-07-15
302379,901537,R57890589,2,1921.63,2025-08-03
302384,901539,R57954341,2,1921.63,2025-08-17
302387,901540,R57962310,2,2348.82,2025-07-16
302393,901545,R58220996,2,9074.71,2025-08-18
302395,901546,R58275553,2,2758.0,2025-08-08
302396,901547,R58286587,2,1459.05,2025-07-30
302400,901550,,2,9075.0,2025-07-15
302403,901553,R58492555,2,2758.11,2025-07-12
302412,901560,R58807024,2,604.95,2025-08-21
302417,901563,R58999506,2,604.95,2025-08-17
302424,901568,R59176050,2,2348.82,2025-08-01
302427,901569,R59182793,2,1921.63,2025-08-22
302430,901571,R59233059,2,1103.0,2025-08-05
302432,901572,R59274130,2,533.8,2025-08-12
302435,901575,R59381405,2,4626.0,2025-07-14
302437,901576,R59468451,2,1921.63,2025-07-24
302440,901577,R59492358,2,800.67,2025-07-21
302442,901578,R59498488,2,800.67,2025-07-13
302447,901580,,2,1459.05,2025-07-30
302460,901586,R59800084,2,2348.82,2025-08-05
302467,901590,R59880387,2,1459.0,2025-08-24
302470,901591,R59884065,2,1921.63,2025-08-23
302479,901598,R51144591,2,1459.05,2025-08-09
302481,901601,R51324813,2,5693.84,2025-07-09
302487,901603,R51516682,2,605.0,2025-07-29
302493,901608,R51787015,2,801.0,2025-08-11
302508,901617,R52289675,2,1921.63,2025-08-05
302515,901622,R52520163,2,801.0,2025-08-15
302518,901625,,2,2348.82,2025-07-05
302524,901630,R53013628,2,1459.05,2025-07-19
302527,901632,R53091479,2,1459.0,2025-07-31
302540,901639,,2,1459.0,2025-08-05
302541,901640,R53523644,2,1103.0,2025-08-13
302549,901643,,2,605.0,2025-08-21
302559,901648,R53894509,2,2758.0,2025-07-15
302562,901651,R53971134,2,1459.05,2025-08-17
302570,901656,R54287442,2,11743.68,2025-07-22
302572,901658,R54321157,2,1921.63,2025-08-18
302579,901663,R54515478,2,2348.82,2025-08-13
302583,901665,R54678536,2,1103.21,2025-08-20
302593,901671,R54775390,2,1103.0,2025-07-27
302600,901676,R54942739,2,2758.11,2025-07-19
302601,901677,R55004039,2,1103.21,2025-08-14
302602,901678,R55007104,2,1459.05,2025-07-19
302604,901680,,2,1459.05,2025-07-03
302613,901686,R55513442,2,1922.0,2025-08-17
302618,901689,R55701633,2,1922.0,2025-08-23
302621,901690,R55740865,2,1103.21,2025-08-13
302626,901694,R55945607,2,1921.63,2025-08-05
302631,901698,R56044913,2,1459.0,2025-08-13
302638,901702,R56431716,2,2758.0,2025-07-04
302645,901706,R56569028,2,2348.82,2025-08-22
302654,901712,R56657913,2,1921.63,2025-08-02
302662,901716,R56800129,2,1459.0,2025-07-05
302665,901719,R56890853,2,533.8,2025-07-10
302669,901721,R57020809,2,800.67,2025-08-22
302673,901723,R57084561,2,4626.38,2025-08-13
302676,901724,R57186319,2,1103.21,2025-08-08
302687,901730,R57494045,2,604.95,2025-07-07
302706,901741,R57940922,2,1103.21,2025-07-14
302718,901750,R58555148,2,604.95,2025-07-30
302721,901753,R58662423,2,1103.21,2025-08-18
302723,901755,R58710850,2,4626.38,2025-07-15
302735,901762,R58949307,2,1103.21,2025-08-13
302750,901770,R59260098,2,1921.63,2025-08-22
302754,901774,R59540852,2,801.0,2025-07-11
302768,901784,R59976695,2,1103.21,2025-07-08
302770,901785,R51011024,2,1459.05,2025-08-21
302789,901796,R51382502,2,4626.38,2025-08-04
302796,901801,R51559046,2,11387.82,2025-08-18
302799,901804,R51971595,2,533.8,2025-07-30
302805,901808,R52218634,2,2348.82,2025-07-09
302816,901815,R52451574,2,800.67,2025-08-12
302842,901832,R53685543,2,1103.21,2025-08-23
302847,901835,R53773202,2,1103.0,2025-07-06
302855,901842,R53941164,2,1103.21,2025-07-05
302857,901843,R53964458,2,605.0,2025-08-13
302867,901848,R54198011,2,2349.0,2025-07-28
302872,901850,R54229887,2,1103.0,2025-07-18
302873,901851,R54264828,2,1459.05,2025-07-23
302877,901854,R54363521,2,1921.63,2025-08-07
302890,901863,R54744807,2,1922.0,2025-07-22
302894,901865,R54844113,2,1922.0,2025-08-15
302895,901867,R54934224,2,5693.84,2025-07-07
302896,901868,R54958131,2,1921.63,2025-08-11
302903,901874,R55228464,2,9075.0,2025-07-05
302908,901876,R55270148,2,4626.0,2025-08-18
302911,901877,R55313058,2,1921.63,2025-07-06
302919,901883,,2,1103.21,2025-07-20
302928,901888,R55599942,2,5694.0,2025-07-11
302930,901890,R55735415,2,604.95,2025-08-08
302933,901891,R55767291,2,604.95,2025-08-16
302947,901900,R56041915,2,800.67,2025-08-24
302948,901901,,2,2758.11,2025-07-31
302952,901905,R56333090,2,5693.84,2025-08-03
302970,901916,,2,1922.0,2025-07-30
302976,901922,R56784871,2,1922.0,2025-08-20
302991,901932,R57041105,2,1103.21,2025-08-14
302992,901933,R57059495,2,801.0,2025-08-25
302997,901936,R57208454,2,9074.71,2025-07-04
303008,901941,R57314503,2,1921.63,2025-07-31
303009,901942,R57339636,2,1921.63,2025-08-17
303010,901943,R57370899,2,1921.63,2025-08-25
303019,901948,R57524762,2,534.0,2025-07-24
303022,901950,,2,604.95,2025-07-22
303030,901955,R57836779,2,1459.05,2025-08-02
303041,901962,R58015162,2,1459.05,2025-07-04
303047,901965,R58059911,2,1103.0,2025-08-06
303061,901975,R58744019,2,1103.21,2025-07-05
303065,901978,R58899108,2,533.8,2025-07-08
303075,901982,R59057262,2,801.0,2025-07-04
303077,901983,R59110593,2,1103.21,2025-07-04
303091,901992,R59625513,2,801.0,2025-07-10
303103,901998,R59854775,2,1459.05,2025-07-21
303107,902000,R59934465,2,9074.71,2025-07-11
303109,902001,R59960211,2,1921.63,2025-07-07
303115,902006,R51580568,2,9075.0,2025-07-22
303116,902007,R51612444,2,1921.63,2025-08-18
303120,902009,R51765081,2,1459.05,2025-08-03
303132,902018,R52105909,2,1459.05,2025-07-26
303136,902021,R52194794,2,2758.11,2025-07-06
303144,902026,R52278162,2,801.0,2025-07-02
303146,902027,R52285518,2,11743.68,2025-07-17
303147,902028,R52310038,2,2349.0,2025-08-15
303151,902030,R52452254,2,1103.21,2025-07-21
303188,902051,R53243024,2,2348.82,2025-07-05
303225,902074,,2,605.0,2025-07-20
303240,902081,R54322517,2,2758.0,2025-07-05
303245,902084,R54372783,2,801.0,2025-07-05
303255,902090,R54638212,2,5693.84,2025-07-01
303263,902096,,2,5693.84,2025-07-14
303268,902099,,2,9074.71,2025-07-14
303272,902102,R55074668,2,11744.0,2025-07-24
303277,902105,R55197881,2,1459.05,2025-07-28
303278,902106,R55224240,2,1459.0,2025-07-12
303283,902108,R55326611,2,1921.63,2025-08-03
303292,902115,R55863599,2,605.0,2025-08-03
303302,902120,R56081214,2,1103.21,2025-07-12
303309,902125,R56171938,2,2758.11,2025-07-31
303316,902129,R56346643,2,1459.05,2025-08-22
303329,902136,R56556289,2,1459.05,2025-07-27
303335,902141,R56751223,2,1103.0,2025-07-28
303338,902143,R56794746,2,2348.82,2025-07-04
303343,902147,R56948609,2,4626.0,2025-07-21
303364,902160,R57462916,2,800.67,2025-07-07
303366,902162,R57619844,2,5693.84,2025-07-11
303374,902167,R57974158,2,1459.05,2025-08-01
303375,902168,R57977836,2,800.67,2025-08-11
303381,902171,R58006034,2,801.0,2025-07-17
303385,902173,R58341345,2,1921.63,2025-07-24
303390,902177,R58484787,2,800.67,2025-07-18
303402,902184,R58775962,2,1459.05,2025-08-11
303403,902185,R58828680,2,1103.21,2025-07-22
303410,902191,R59048747,2,4626.0,2025-07-19
303423,902198,R59404900,2,1921.63,2025-08-16
303428,902200,R59526887,2,1459.05,2025-07-29
303432,902202,R59553859,2,1922.0,2025-08-04
303434,902204,R59621289,2,2758.0,2025-08-10
303440,902207,,2,1103.21,2025-08-11
303464,902221,R51235516,2,1459.05,2025-08-13
303467,902222,R51280265,2,2348.82,2025-07-23
303472,902225,R51386927,2,1103.0,2025-07-19
303473,902226,R51414512,2,5694.0,2025-08-12
303474,902227,R51475812,2,801.0,2025-07-07
303484,902233,R51656647,2,1921.63,2025-07-30
303491,902238,,2,1921.63,2025-08-07
303511,902253,R52757595,2,800.67,2025-07-14
303520,902258,R52892455,2,1103.21,2025-07-05
303523,902260,R52986244,2,604.95,2025-07-16
303526,902261,R53026089,2,1459.05,2025-07-12
303527,902262,R53037736,2,533.8,2025-07-15
303547,902276,R53369369,2,1459.05,2025-07-05
303553,902279,R53527523,2,4626.38,2025-07-19
303555,902281,,2,1921.63,2025-08-10
303556,902282,R53605987,2,5693.84,2025-07-28
303557,902283,R53655027,2,2758.11,2025-07-06
303562,902287,R53890419,2,1103.21,2025-07-14
303574,902293,R54337296,2,2758.0,2025-07-30
303575,902294,R54361816,2,1921.63,2025-08-16
303585,902300,R54840569,2,5338.01,2025-07-13
303586,902301,,2,605.0,2025-08-06
303588,902302,R54979720,2,2349.0,2025-08-17
303591,902304,,2,1459.05,2025-08-13
303594,902306,R55092512,2,1103.0,2025-07-11
303595,902307,R55100481,2,800.67,2025-07-05
303606,902314,R55497705,2,800.67,2025-08-05
303607,902315,R55520386,2,1103.21,2025-08-24
303608,902316,R55555327,2,1103.21,2025-07-03
303619,902325,R55929257,2,605.0,2025-08-02
303623,902328,R56003430,2,2758.0,2025-07-12
303632,902334,R56301961,2,1459.0,2025-08-05
303637,902338,R56439273,2,1103.21,2025-08-25
303638,902339,R56503025,2,9075.0,2025-08-21
303641,902342,R56628690,2,1921.63,2025-07-10
303644,902343,R56680182,2,5693.84,2025-07-12
303645,902344,R56745773,2,1103.21,2025-08-14
303656,902351,R57018558,2,1103.21,2025-07-27
303660,902354,R57075567,2,1922.0,2025-08-04
303674,902365,,2,4626.38,2025-08-08
