session_id,name,label,match_date,start_at,end_at,is_away,venue_id,venue_name,venue_capacity,competition_id,competition_name
1026,PBB - Gravelines-Dunkerque,J22 PBB - Gravelines-Dunkerque,2026-03-15,2026-03-15 14:30:00.553,2026-03-15 16:45:00.381,False,1,ADIDAS ARENA,8000,1,CHAMPIONNAT NATIONAL
1027,PBB - Partizan Mozzart Bet Belgrade,J32 PBB - Partizan Mozzart Bet Belgrade,2026-03-19,2026-03-19 19:45:00.767,2026-03-19 22:00:00.212,False,1,ADIDAS ARENA,8000,2,COUPE EUROPEENNE
1028,PBB - Bourg-en-Bresse,J23 PBB - Bourg-en-Bresse,2026-03-22,2026-03-22 17:00:00.132,2026-03-22 19:15:00.953,False,1,ADIDAS ARENA,8000,1,CHAMPIONNAT NATIONAL
1029,PBB - EA7 Emporio Armani Milan,J35 PBB - EA7 Emporio Armani Milan,2026-04-02,2026-04-02 18:45:00.684,2026-04-02 21:00:00.625,False,1,ADIDAS ARENA,8000,2,COUPE EUROPEENNE
1030,PBB - Nanterre,J25 PBB - Nanterre,2026-04-04,2026-04-04 17:00:00.284,2026-04-04 19:15:00.657,False,1,ADIDAS ARENA,8000,1,CHAMPIONNAT NATIONAL
1031,PBB - Maccabi Rapyd Tel Aviv,J37 PBB - Maccabi Rapyd Tel Aviv,2026-04-09,2026-04-09 19:00:00.844,2026-04-09 21:15:00.738,False,1,ADIDAS ARENA,8000,2,COUPE EUROPEENNE
1032,PBB - Chalon/Saône,J28 PBB - Chalon/Saône,2026-05-02,2026-05-02 16:30:00.909,2026-05-02 18:45:00.434,False,1,ADIDAS ARENA,8000,1,CHAMPIONNAT NATIONAL
1033,PBB - Lyon-Villeurbanne,J30 PBB - Lyon-Villeurbanne,2026-05-16,2026-05-16 15:00:00.406,2026-05-16 17:15:00.060,False,1,ADIDAS ARENA,8000,1,CHAMPIONNAT NATIONAL
1034,PBB - Strasbourg,J01 PBB - Strasbourg,2026-05-26,2026-05-26 17:00:00.979,2026-05-26 19:15:00.635,False,1,ADIDAS ARENA,8000,3,PLAYOFFS CHAMPIONNAT
1035,PBB - Strasbourg,J03 PBB - Strasbourg,2026-05-30,2026-05-30 11:30:00.419,2026-05-30 13:45:00.469,False,1,ADIDAS ARENA,8000,3,PLAYOFFS CHAMPIONNAT
1036,PBB - Cholet,J01 PBB - Cholet,2026-06-02,2026-06-02 16:00:00.091,2026-06-02 18:15:00.265,False,1,ADIDAS ARENA,8000,3,PLAYOFFS CHAMPIONNAT
1037,PBB - Cholet,J02 PBB - Cholet,2026-06-04,2026-06-04 16:30:00.225,2026-06-04 18:45:00.953,False,1,ADIDAS ARENA,8000,3,PLAYOFFS CHAMPIONNAT
1038,PBB - Monaco,J01 PBB - Monaco,2026-06-14,2026-06-14 13:00:00.883,2026-06-14 15:15:00.074,False,1,ADIDAS ARENA,8000,3,PLAYOFFS CHAMPIONNAT
1039,PBB - Monaco,J02 PBB - Monaco,2026-06-17,2026-06-17 16:30:00.973,2026-06-17 18:45:00.471,False,1,ADIDAS ARENA,8000,3,PLAYOFFS CHAMPIONNAT
1040,PBB - Monaco,J05 PBB - Monaco,2026-06-23,2026-06-23 17:10:00.901,2026-06-23 19:25:00.185,False,1,ADIDAS ARENA,8000,3,PLAYOFFS CHAMPIONNAT
